The Mummy,1932
Orphans of the Storm,1921
Night Tide,1963
One Magic Christmas,1985
Nosferatu: Original Version,1929
Broken Blossoms,1919
The Birth of a Nation,1915
The Boys from Brazil,1978
Big Doll House,1971
The Breakfast Club,1985
The Bride of Frankenstein,1935
Bustin' Loose,1981
The Beguiled,1971
Born on the Fourth of July,1989
Broadcast News,1987
Brighton Beach Memoirs,1986
The Best of Times,1986
Last Tango in Paris,1972
The Lady Vanishes,1938
Into the Woods,1990
Joe Kidd,1972
King Kong,1976
Internal Affairs,1990
Jesus Christ Superstar,1973
Easy Money,1987
Do the Right Thing,1989
Days of Heaven,1978
Disco Godfather,1979
The Eiger Sanction,1975
Elvis '56,1987
Evil Dead 2: Dead by Dawn,1987
Eat My Dust!,1976
Dr. Jekyll and Mr. Hyde,1920
48 Hrs.,1982
The Baby,1973
The Andromeda Strain,1971
Another 48 Hrs.,1990
All About Eve,1950
The Aristocats,1970
Barbarella,1968
The Asphyx,1973
Apocalypse Now,1979
Leviathan,1989
The Mark of Zorro,1920
The Mikado,1939
Lionheart,1990
Minnie and Moskowitz,1971
The Hunt for Red October,1990
The Hindenburg,1975
I Spit on Your Grave,1978
Hellbound: Hellraiser II,1988
House of Whipcord,1974
The Great Outdoors,1988
Heaven's Gate,1980
House on Haunted Hill,1959
The Golden Child,1986
The Great Waldo Pepper,1975
Godzilla: King of the Monsters,1956
High Noon,1952
The Hunchback of Notre Dame,1923
Heathers,1989
Godzilla's Revenge,1969
Henry: Portrait of a Serial Killer,1986
Godzilla vs. Mothra,1964
The Grifters,1990
A Fish Called Wanda,1988
Gentleman's Agreement,1947
Ghostbusters,1984
Fascination,1979
Go West,1925
Ferris Bueller's Day Off,1986
Gallipoli,1981
Girl on a Motorcycle,1968
The Falcon and the Snowman,1985
Red Scorpion,1989
Reefer Madness,1936
The Battleship Potemkin,1925
Platoon,1986
Re-Animator,1985
Reds,1981
Conan the Destroyer,1984
Creator,1985
Child's Play 2: Chucky's Back,1990
Chitty Chitty Bang Bang,1968
Caligula,1979
The Cat and the Canary,1927
Class of Nuke 'Em High,1986
Coming to America,1988
The Serpent and the Rainbow,1988
Silent Running,1971
Sally of the Sawdust,1925
The Secret of NIMH,1982
A Shot in the Dark,1964
Shoot Out,1971
Salome's Last Dance,1988
Slaughterhouse-Five,1972
The Toxic Avenger: Part 2,1989
WarGames,1983
Way Down East,1920
Ulzana's Raid,1972
Where the Buffalo Roam,1980
Top Gun,1986
True Grit,1969
The Toxic Avenger,1985
The Two Jakes,1990
Star Trek IV: The Voyage Home,1986
Somewhere in Time,1980
Star Trek III: The Search for Spock,1984
The Thief of Bagdad,1924
Surf Nazis Must Die,1987
Three Ages,1923
Swashbuckler,1976
Steamboat Bill  Jr.,1928
Terror of Mechagodzilla,1975
They Might Be Giants,1971
The Canterbury Tales,1972
The Sinful Nuns of St. Valentine,1974
The Great Train Robbery,1978
A Star Is Born,1937
The Mighty Peking Man,1977
Project A 2,1987
Baron Blood,1972
The Official Story,1985
On Any Sunday,1971
Nothing Sacred,1937
Beneath the 12-Mile Reef,1953
Triads: The Inside Story,1989
Operation Condor 2: Armour of the Gods,1987
Chandni,1989
Daag,1973
Marlene,1984
Chariots of the Gods,1970
Callie &#38; Son,1981
Bay of Blood,1971
Intolerance,1916
Black Sunday,1960
Lost in New York,1989
The General,1926
The Wolf Man,1941
Abbott &#38; Costello: Africa Screams,1949
Charade,1963
Deathsport,1978
Seven Chances,1925
Butch Cassidy and the Sundance Kid,1969
Dracula,1931
Love Is a Many-Splendored Thing,1955
Bloodfist 2,1990
The Last Temptation of Christ,1988
Our Town,1940
The Fox and the Hound,1981
Ghost Dad,1990
Jackie Chan's Project A,1983
The Trial,1962
The Tempest,1979
The Van,1977
Switchblade Sisters,1975
American Gigolo,1980
White Zombie,1932
The Endless Summer,1966
The House of Exorcism,1975
The Sacrifice,1986
Kill  Baby... Kill!,1966
Lisa &#38; the Devil,1974
Clue,1985
The Brother from Another Planet,1984
Manhattan,1979
